read_70 status=OK qual=AB diff=<0, -10>  | 7271826 7272834 | pad: 11, None | 
read_71 status=OK qual=AA diff=<0, 0>  | 7547803 7548799 | pad: 13, 11 | 
read_72 status=OK qual=AA diff=<0, -1>  | 11202988 11203992 | pad: 11, 10 | 
read_73 status=OK qual=AA diff=<0, -1>  | 14178114 14179112 | pad: 11, 10 | 
read_74 status=OK qual=AA diff=<0, -1>  | 11956059 11957058 | pad: 11, 10 | 
read_75 status=OK qual=AB diff=<12, 0>  | 12013424 12014439 | pad: None, 11 | 
read_76 status=OK qual=AA diff=<0, -1>  | 12236582 12237582 | pad: 11, 10 | 
read_77 status=OK qual=AB diff=<11, -1>  | 1224376 1225384 | pad: None, 10 | 
read_78 status=OK qual=AA diff=<0, -9>  | 18787887 18788902 | pad: 11, None | 
read_79 status=OK qual=C diff=<11, -11>  | 9780258 9781285 | pad: None, None | 
read_80 status=OK qual=AB diff=<0, -11>  | 19860594 19861605 | pad: 11, None | 
read_81 status=OK qual=AA diff=<0, -1>  | 5432000 5432995 | pad: 11, 10 | 
read_82 status=OK qual=C diff=<12, -11>  | 13695964 13696986 | pad: None, None | 
read_83 status=OK qual=AA diff=<0, -1>  | 15732877 15733874 | pad: 11, 10 | 
read_84 status=OK qual=AB diff=<9, -1>  | 2237850 2238864 | pad: None, 10 | 
read_85 status=OK qual=AB diff=<0, -15>  | 18190075 18191092 | pad: 10, None | 
read_86 status=OK qual=AB diff=<11, -1>  | 8854637 8855645 | pad: None, 10 | 
read_87 status=OK qual=AB diff=<0, -11>  | 7912696 7913709 | pad: 11, None | 
read_88 status=OK qual=AB diff=<10, -1>  | 1375172 1376183 | pad: None, 10 | 
read_89 status=OK qual=AA diff=<0, -1>  | 617262 618265 | pad: 11, 10 | 
read_90 status=OK qual=AB diff=<11, -1>  | 14001423 14002437 | pad: None, 10 | 
read_91 status=OK qual=AA diff=<7, -1>  | 1288124 1289136 | pad: None, 10 | 
read_92 status=OK qual=AA diff=<0, -8>  | 17069515 17070527 | pad: 11, None | 
read_93 status=OK qual=AA diff=<0, -1>  | 18997747 18998746 | pad: 11, 10 | 
