read_310 status=OK qual=AA diff=<0, -8>  | 14935094 14936104 | pad: 11, None | 
read_311 status=OK qual=C diff=<10, -10>  | 15450477 15451501 | pad: None, None | 
read_312 status=OK qual=AA diff=<0, 1>  | 2721062 2722060 | pad: 11, 12 | 
read_313 status=OK qual=AA diff=<0, -1>  | 3997749 3998754 | pad: 11, 10 | 
read_314 status=OK qual=AB diff=<0, -16>  | 8936185 8937193 | pad: 11, None | 
read_315 status=OK qual=AA diff=<0, -1>  | 12433229 12434229 | pad: 11, 10 | 
read_316 status=OK qual=AA diff=<0, -1>  | 4384947 4385950 | pad: 11, 10 | 
read_317 status=OK qual=AA diff=<0, -9>  | 10768667 10769674 | pad: 11, None | 
read_318 status=OK qual=AB diff=<0, -11>  | 4376238 4377255 | pad: 11, None | 
read_319 status=OK qual=AA diff=<0, -1>  | 12209222 12210225 | pad: 11, 10 | 
read_320 status=OK qual=AA diff=<0, -1>  | 8366144 8367145 | pad: 11, 10 | 
read_321 status=OK qual=C diff=<13, -11>  | 9398641 9399663 | pad: None, None | 
read_322 status=OK qual=AA diff=<0, 0>  | 6448206 6449210 | pad: 11, 11 | 
read_323 status=OK qual=AA diff=<0, -1>  | 10223240 10224237 | pad: 11, 10 | 
read_324 status=OK qual=AB diff=<0, -11>  | 9857246 9858255 | pad: 11, None | 
read_325 status=OK qual=AA diff=<0, -1>  | 2700141 2701140 | pad: 11, 10 | 
read_326 status=OK qual=AA diff=<0, -9>  | 16961554 16962571 | pad: 11, None | 
read_327 status=OK qual=AA diff=<0, -1>  | 17217019 17218016 | pad: 11, 10 | 
read_328 status=OK qual=AB diff=<11, -1>  | 17432592 17433606 | pad: None, 10 | 
read_329 status=OK qual=AA diff=<0, -9>  | 12887298 12888313 | pad: 11, None | 
read_330 status=OK qual=AB diff=<0, -14>  | 10139757 10140772 | pad: 11, None | 
read_331 status=OK qual=AA diff=<0, -3>  | 17937329 17938326 | pad: 11, 10 | 
read_332 status=OK qual=AA diff=<0, -1>  | 14851774 14852777 | pad: 12, 10 | 
read_333 status=OK qual=C diff=<11, -13>  | 18174469 18175493 | pad: None, None | 
read_334 status=OK qual=AA diff=<0, -1>  | 16501296 16502295 | pad: 11, 10 | 
read_335 status=OK qual=AB diff=<11, -1>  | 26515 27533 | pad: None, 10 | 
read_336 status=OK qual=AA diff=<0, -1>  | 14646521 14647529 | pad: 11, 10 | 
read_337 status=OK qual=AB diff=<11, 0>  | 18063740 18064749 | pad: None, 11 | 
read_338 status=OK qual=AA diff=<0, -1>  | 3616396 3617394 | pad: 12, 10 | 
read_339 status=OK qual=AA diff=<0, 0>  | 9973685 9974685 | pad: 11, 11 | 
read_340 status=OK qual=AA diff=<0, -9>  | 16597090 16598101 | pad: 11, None | 
read_341 status=OK qual=AB diff=<11, 0>  | 3584690 3585709 | pad: None, 10 | 
read_342 status=OK qual=AB diff=<11, 0>  | 1389912 1390927 | pad: None, 10 | 
read_343 status=OK qual=AA diff=<0, 0>  | 5230874 5231870 | pad: 11, 11 | 
read_344 status=OK qual=AA diff=<0, -1>  | 18396968 18397966 | pad: 11, 10 | 
read_345 status=OK qual=AA diff=<0, -2>  | 14021648 14022652 | pad: 11, 9 | 
read_346 status=OK qual=AB diff=<0, -11>  | 15476214 15477225 | pad: 11, None | 
read_347 status=OK qual=AB diff=<0, -10>  | 3969965 3970979 | pad: 11, None | 
read_348 status=OK qual=AA diff=<0, -1>  | 15894416 15895418 | pad: 11, 10 | 
read_349 status=OK qual=AA diff=<0, -1>  | 8323879 8324876 | pad: 11, 10 | 
read_350 status=OK qual=AA diff=<0, -1>  | 11487360 11488363 | pad: 11, 10 | 
read_351 status=OK qual=AA diff=<0, -1>  | 68128 69129 | pad: 11, 10 | 
read_352 status=OK qual=AB diff=<11, -1>  | 3234715 3235725 | pad: None, 10 | 
read_353 status=OK qual=AB diff=<0, -11>  | 17465594 17466607 | pad: 11, None | 
read_354 status=OK qual=AA diff=<0, -1>  | 5842347 5843358 | pad: 11, 9 | 
read_355 status=OK qual=AA diff=<0, 0>  | 9234667 9235661 | pad: 11, 11 | 
read_356 status=OK qual=C diff=<10, -15>  | 9710262 9711286 | pad: None, None | 
read_357 status=OK qual=AB diff=<12, -1>  | 18262668 18263683 | pad: None, 10 | 
read_358 status=OK qual=AB diff=<0, -11>  | 16494029 16495042 | pad: 11, None | 
read_359 status=OK qual=AA diff=<0, -1>  | 13163189 13164190 | pad: 11, 10 | 
read_360 status=OK qual=AA diff=<0, -1>  | 19778160 19779159 | pad: 11, 10 | 
read_361 status=OK qual=AB diff=<10, -1>  | 19447798 19448807 | pad: None, 10 | 
read_362 status=OK qual=AA diff=<1, -1>  | 17899194 17900193 | pad: 11, 10 | 
read_363 status=OK qual=AA diff=<0, -1>  | 14277427 14278434 | pad: 11, 10 | 
read_364 status=OK qual=AA diff=<0, -1>  | 19458179 19459176 | pad: 11, 10 | 
read_365 status=OK qual=AA diff=<0, -1>  | 6721453 6722450 | pad: 11, 10 | 
read_366 status=OK qual=AB diff=<0, -13>  | 16789932 16790941 | pad: 11, None | 
read_367 status=OK qual=AA diff=<0, -1>  | 14496863 14497869 | pad: 11, 10 | 
read_368 status=OK qual=AA diff=<8, -1>  | 7514758 7515775 | pad: None, 10 | 
read_369 status=OK qual=AA diff=<0, -1>  | 19318661 19319662 | pad: 10, 10 | 
read_370 status=OK qual=AB diff=<10, -1>  | 4073960 4074972 | pad: None, 9 | 
read_371 status=OK qual=C diff=<11, -12>  | 3158909 3159928 | pad: None, None | 
read_372 status=OK qual=AA diff=<0, -1>  | 7352323 7353318 | pad: 11, 10 | 
read_373 status=OK qual=AB diff=<11, -1>  | 14773750 14774762 | pad: None, 10 | 
read_374 status=OK qual=AB diff=<9, -1>  | 15142975 15143985 | pad: None, 10 | 
read_375 status=OK qual=AA diff=<0, -2>  | 10900043 10901041 | pad: 11, 9 | 
read_376 status=OK qual=AA diff=<0, -1>  | 7696813 7697809 | pad: 11, 10 | 
read_377 status=OK qual=AB diff=<11, -1>  | 7590223 7591237 | pad: None, 10 | 
read_378 status=OK qual=AA diff=<0, -2>  | 7472379 7473385 | pad: 11, 10 | 
read_379 status=OK qual=AA diff=<0, -2>  | 647897 648901 | pad: 11, 9 | 
read_380 status=OK qual=AB diff=<11, -2>  | 8805714 8806724 | pad: None, 10 | 
read_381 status=OK qual=AB diff=<0, -11>  | 17646058 17647071 | pad: 11, None | 
read_382 status=OK qual=AB diff=<0, -10>  | 745017 746029 | pad: 11, None | 
read_383 status=OK qual=AA diff=<0, -2>  | 19865151 19866157 | pad: 11, 10 | 
read_384 status=OK qual=AA diff=<0, 0>  | 12658175 12659173 | pad: 11, 11 | 
read_385 status=OK qual=AA diff=<0, -2>  | 13662302 13663304 | pad: 11, 10 | 
read_386 status=OK qual=AB diff=<10, -1>  | 5935637 5936649 | pad: None, 10 | 
read_387 status=OK qual=AA diff=<0, -9>  | 975559 976576 | pad: 11, None | 
read_388 status=OK qual=AB diff=<0, -11>  | 6184213 6185222 | pad: 11, None | 
read_389 status=OK qual=AB diff=<10, -1>  | 13981275 13982284 | pad: None, 10 | 
read_390 status=OK qual=AB diff=<0, -11>  | 7908750 7909755 | pad: 11, None | 
read_391 status=OK qual=AB diff=<11, -1>  | 8922581 8923595 | pad: None, 10 | 
read_392 status=OK qual=AB diff=<11, -1>  | 9351696 9352700 | pad: None, 10 | 
read_393 status=OK qual=AA diff=<0, -1>  | 3355590 3356598 | pad: 12, 10 | 
read_394 status=OK qual=C diff=<9, -11>  | 4303127 4304147 | pad: None, None | 
read_395 status=OK qual=AB diff=<0, -13>  | 13288557 13289568 | pad: 11, None | 
read_396 status=OK qual=AB diff=<0, -11>  | 19935260 19936273 | pad: 11, None | 
read_397 status=OK qual=AA diff=<0, 0>  | 3338075 3339075 | pad: 11, 10 | 
read_398 status=OK qual=AB diff=<0, -11>  | 856858 857866 | pad: 11, None | 
read_399 status=OK qual=AA diff=<0, 1>  | 16986205 16987214 | pad: 11, 12 | 
read_400 status=OK qual=C diff=<10, -12>  | 16326360 16327386 | pad: None, None | 
read_401 status=OK qual=AA diff=<0, -1>  | 7982596 7983599 | pad: 11, 10 | 
read_402 status=OK qual=AA diff=<0, -1>  | 1398085 1399083 | pad: 11, 10 | 
read_403 status=OK qual=AB diff=<11, -1>  | 18430947 18431961 | pad: None, 10 | 
read_404 status=OK qual=AA diff=<0, -1>  | 14852105 14853101 | pad: 11, 10 | 
read_405 status=OK qual=AA diff=<0, 1>  | 14491919 14492919 | pad: 11, 12 | 
read_406 status=OK qual=AB diff=<12, 1>  | 19069976 19070995 | pad: None, 12 | 
read_407 status=OK qual=AA diff=<1, 2>  | 12102277 12103282 | pad: 11, 10 | 
read_408 status=OK qual=AB diff=<0, -11>  | 7718622 7719630 | pad: 11, None | 
read_409 status=OK qual=AA diff=<0, -1>  | 18020045 18021055 | pad: 11, 10 | 
read_410 status=OK qual=AA diff=<8, -1>  | 9416843 9417854 | pad: None, 10 | 
read_411 status=OK qual=AB diff=<0, -11>  | 2031132 2032137 | pad: 11, None | 
read_412 status=OK qual=AA diff=<0, -1>  | 10823787 10824793 | pad: 11, 10 | 
read_413 status=OK qual=AB diff=<12, -1>  | 19919809 19920812 | pad: None, 10 | 
read_414 status=OK qual=AA diff=<0, -2>  | 6706267 6707269 | pad: 11, 10 | 
read_415 status=OK qual=AB diff=<11, -1>  | 3852738 3853756 | pad: None, 10 | 
read_416 status=OK qual=AA diff=<0, -1>  | 7143241 7144244 | pad: 11, 10 | 
read_417 status=OK qual=AA diff=<0, -2>  | 1158210 1159215 | pad: 11, 9 | 
read_418 status=OK qual=AA diff=<0, -3>  | 10131274 10132274 | pad: 11, 8 | 
read_419 status=OK qual=AA diff=<8, -1>  | 13421526 13422539 | pad: None, 10 | 
read_420 status=OK qual=AA diff=<0, -1>  | 6695013 6696015 | pad: 11, 10 | 
read_421 status=OK qual=AA diff=<0, -1>  | 19503576 19504572 | pad: 11, 10 | 
read_422 status=OK qual=AA diff=<0, 1>  | 9642155 9643160 | pad: 11, 10 | 
read_423 status=OK qual=C diff=<9, -11>  | 5596096 5597113 | pad: None, None | 
read_424 status=OK qual=AA diff=<0, -1>  | 15152944 15153947 | pad: 11, 10 | 
read_425 status=OK qual=AB diff=<12, -1>  | 1198673 1199682 | pad: None, 10 | 
read_426 status=OK qual=AA diff=<0, -1>  | 14101322 14102318 | pad: 11, 10 | 
read_427 status=OK qual=AB diff=<0, -13>  | 9766347 9767360 | pad: 11, None | 
read_428 status=OK qual=AB diff=<0, -10>  | 3528359 3529370 | pad: 11, None | 
read_429 status=OK qual=AA diff=<0, -1>  | 19522134 19523127 | pad: 11, 10 | 
read_430 status=OK qual=AA diff=<0, -1>  | 4185672 4186677 | pad: 11, 10 | 
read_431 status=OK qual=AB diff=<0, -12>  | 4564321 4565329 | pad: 11, None | 
read_432 status=OK qual=AB diff=<10, -1>  | 1568340 1569349 | pad: None, 10 | 
read_433 status=OK qual=AB diff=<0, -11>  | 6370720 6371723 | pad: 11, None | 
read_434 status=OK qual=AA diff=<0, -1>  | 17455984 17456991 | pad: 11, 10 | 
read_435 status=OK qual=AB diff=<0, -12>  | 4237858 4238867 | pad: 11, None | 
read_436 status=OK qual=AA diff=<0, -1>  | 11244290 11245285 | pad: 15, 10 | 
read_437 status=OK qual=AB diff=<11, 0>  | 15840597 15841614 | pad: None, 10 | 
read_438 status=OK qual=AA diff=<0, -1>  | 8126291 8127287 | pad: 11, 10 | 
read_439 status=OK qual=AA diff=<0, -2>  | 16176509 16177505 | pad: 11, 10 | 
read_440 status=OK qual=AA diff=<0, -1>  | 1832730 1833725 | pad: 11, 10 | 
read_441 status=OK qual=AB diff=<0, -12>  | 3310064 3311076 | pad: 11, None | 
read_442 status=OK qual=AB diff=<0, -10>  | 13153992 13155000 | pad: 11, None | 
read_443 status=OK qual=AA diff=<0, -9>  | 13490185 13491192 | pad: 11, None | 
read_444 status=OK qual=AB diff=<1, -13>  | 15875318 15876325 | pad: 11, None | 
read_445 status=OK qual=AB diff=<0, -10>  | 7691755 7692767 | pad: 11, None | 
read_446 status=OK qual=AA diff=<0, -1>  | 639576 640583 | pad: 8, 10 | 
read_447 status=OK qual=AB diff=<11, -1>  | 14281071 14282087 | pad: None, 10 | 
read_448 status=OK qual=AA diff=<0, -1>  | 1920030 1921031 | pad: 11, 10 | 
read_449 status=OK qual=AB diff=<0, -13>  | 17612173 17613182 | pad: 11, None | 
read_450 status=OK qual=AB diff=<11, -1>  | 18908095 18909111 | pad: None, 10 | 
read_451 status=OK qual=AA diff=<0, 0>  | 7104599 7105606 | pad: 11, 11 | 
read_452 status=OK qual=AB diff=<0, -12>  | 11295600 11296608 | pad: 11, None | 
read_453 status=OK qual=AB diff=<12, 0>  | 18610065 18611079 | pad: None, 10 | 
read_454 status=OK qual=AA diff=<0, -1>  | 3934138 3935145 | pad: 11, 10 | 
read_455 status=OK qual=AA diff=<0, -1>  | 19201965 19202970 | pad: 11, 10 | 
read_456 status=OK qual=AA diff=<0, -1>  | 8394241 8395248 | pad: 11, 10 | 
read_457 status=OK qual=AB diff=<0, -11>  | 824551 825562 | pad: 11, None | 
read_458 status=OK qual=AB diff=<11, -2>  | 14924100 14925109 | pad: None, 10 | 
read_459 status=OK qual=AB diff=<10, 0>  | 19288402 19289412 | pad: None, 11 | 
read_460 status=OK qual=AA diff=<0, -1>  | 5922812 5923805 | pad: 11, 10 | 
read_461 status=OK qual=AB diff=<9, -1>  | 15739815 15740827 | pad: None, 10 | 
read_462 status=OK qual=AB diff=<11, 0>  | 14467192 14468209 | pad: None, 10 | 
read_463 status=OK qual=AB diff=<11, -1>  | 103133 104149 | pad: None, 10 | 
read_464 status=OK qual=AA diff=<0, 0>  | 18705568 18706574 | pad: 11, 10 | 
read_465 status=OK qual=AA diff=<0, 0>  | 15317707 15318707 | pad: 11, 11 | 
read_466 status=OK qual=AA diff=<0, -9>  | 1655114 1656128 | pad: 11, None | 
read_467 status=OK qual=AA diff=<0, -2>  | 2701513 2702518 | pad: 11, 10 | 
read_468 status=OK qual=AB diff=<0, -11>  | 3134211 3135218 | pad: 11, None | 
read_469 status=OK qual=C diff=<12, -12>  | 772387 773409 | pad: None, None | 
read_470 status=OK qual=AA diff=<0, 0>  | 3906190 3907185 | pad: 11, 11 | 
read_471 status=OK qual=AA diff=<0, 2>  | 18390781 18391783 | pad: 11, 13 | 
read_472 status=OK qual=AA diff=<0, 0>  | 4514846 4515847 | pad: 11, 10 | 
read_473 status=OK qual=AA diff=<0, -1>  | 3561155 3562151 | pad: 11, 10 | 
read_474 status=OK qual=AB diff=<0, -12>  | 622578 623586 | pad: 11, None | 
read_475 status=OK qual=AB diff=<0, -11>  | 17246206 17247221 | pad: 10, None | 
read_476 status=OK qual=AA diff=<0, -1>  | 13385862 13386853 | pad: 11, 10 | 
read_477 status=OK qual=AA diff=<-3, -2>  | 12873088 12874091 | pad: 11, 10 | 
read_478 status=OK qual=AA diff=<0, -1>  | 14090316 14091319 | pad: 11, 10 | 
read_479 status=OK qual=AA diff=<0, -1>  | 17113131 17114128 | pad: 11, 10 | 
read_480 status=OK qual=AB diff=<0, -11>  | 12443148 12444153 | pad: 11, None | 
read_481 status=OK qual=AB diff=<11, -1>  | 10873624 10874630 | pad: None, 10 | 
read_482 status=OK qual=AA diff=<0, -1>  | 18462461 18463468 | pad: 11, 10 | 
read_483 status=OK qual=AA diff=<0, -1>  | 8989440 8990442 | pad: 11, 10 | 
read_484 status=OK qual=AA diff=<0, -1>  | 15977066 15978071 | pad: 11, 10 | 
read_485 status=OK qual=AB diff=<0, -11>  | 15648035 15649044 | pad: 11, None | 
read_486 status=OK qual=AB diff=<13, -1>  | 9581564 9582584 | pad: None, 10 | 
read_487 status=OK qual=AB diff=<11, -1>  | 9240902 9241905 | pad: None, 10 | 
read_488 status=OK qual=AA diff=<0, 1>  | 15678151 15679155 | pad: 11, 12 | 
read_489 status=OK qual=AB diff=<11, -1>  | 13169195 13170201 | pad: None, 10 | 
read_490 status=OK qual=AB diff=<0, -12>  | 1796570 1797588 | pad: 11, None | 
read_491 status=OK qual=AA diff=<8, -1>  | 14375432 14376447 | pad: None, 10 | 
read_492 status=OK qual=AA diff=<0, -1>  | 10932072 10933065 | pad: 11, 10 | 
read_493 status=OK qual=AA diff=<0, -2>  | 3268437 3269439 | pad: 11, 10 | 
read_494 status=OK qual=AA diff=<0, -1>  | 5804363 5805360 | pad: 11, 10 | 
read_495 status=OK qual=AA diff=<0, 0>  | 16980886 16981889 | pad: 11, 10 | 
read_496 status=OK qual=AA diff=<0, -1>  | 2876748 2877747 | pad: 11, 10 | 
read_497 status=OK qual=AA diff=<0, -1>  | 13501213 13502212 | pad: 11, 10 | 
read_498 status=OK qual=AA diff=<0, -1>  | 16178154 16179155 | pad: 11, 10 | 
read_499 status=OK qual=AB diff=<14, 0>  | 9936158 9937168 | pad: None, 10 | 
read_500 status=OK qual=AA diff=<0, -1>  | 2411048 2412056 | pad: 11, 10 | 
read_501 status=OK qual=AA diff=<0, -1>  | 12412172 12413166 | pad: 11, 10 | 
read_502 status=OK qual=AB diff=<10, -1>  | 3073072 3074086 | pad: None, 10 | 
read_503 status=OK qual=AA diff=<0, -1>  | 5523942 5524935 | pad: 11, 10 | 
read_504 status=OK qual=AA diff=<0, -1>  | 6650750 6651755 | pad: 11, 10 | 
read_505 status=OK qual=AA diff=<0, -1>  | 18033061 18034058 | pad: 11, 10 | 
read_506 status=OK qual=AA diff=<0, -2>  | 17300924 17301934 | pad: 11, 9 | 
read_507 status=OK qual=AA diff=<0, -1>  | 18301843 18302838 | pad: 11, 10 | 
read_508 status=OK qual=AA diff=<0, -9>  | 15869939 15870954 | pad: 11, None | 
read_509 status=OK qual=AA diff=<0, -1>  | 6586397 6587396 | pad: 11, 10 | 
read_510 status=OK qual=AA diff=<0, -1>  | 15734038 15735041 | pad: 11, 10 | 
read_511 status=OK qual=AA diff=<0, -1>  | 10258682 10259688 | pad: 11, 10 | 
read_512 status=OK qual=AA diff=<0, -1>  | 2631822 2632829 | pad: 11, 10 | 
read_513 status=OK qual=AA diff=<0, -1>  | 19479164 19480165 | pad: 9, 10 | 
read_514 status=OK qual=AB diff=<11, -1>  | 10147823 10148835 | pad: None, 10 | 
read_515 status=OK qual=AA diff=<0, -9>  | 5528658 5529664 | pad: 11, None | 
read_516 status=OK qual=AB diff=<14, 4>  | 5746104 5747118 | pad: None, 10 | 
read_517 status=OK qual=C diff=<11, -12>  | 2040636 2041655 | pad: None, None | 
read_518 status=OK qual=AA diff=<0, -1>  | 14152261 14153260 | pad: 11, 10 | 
read_519 status=OK qual=AA diff=<0, -1>  | 757480 758483 | pad: 11, 10 | 
read_520 status=OK qual=AA diff=<0, -1>  | 3533443 3534446 | pad: 11, 10 | 
read_521 status=OK qual=AA diff=<0, -1>  | 9208161 9209160 | pad: 11, 10 | 
read_522 status=OK qual=AB diff=<11, -1>  | 16562102 16563112 | pad: None, 10 | 
read_523 status=OK qual=AA diff=<0, -2>  | 3893823 3894825 | pad: 11, 9 | 
read_524 status=OK qual=AA diff=<0, -1>  | 17542055 17543060 | pad: 11, 10 | 
read_525 status=OK qual=AA diff=<0, -1>  | 14819093 14820094 | pad: 11, 10 | 
read_526 status=OK qual=AA diff=<0, -4>  | 8076622 8077621 | pad: 11, 10 | 
read_527 status=OK qual=AA diff=<0, -1>  | 4704628 4705625 | pad: 12, 10 | 
read_528 status=OK qual=AB diff=<11, -1>  | 18988861 18989879 | pad: None, 10 | 
read_529 status=OK qual=AA diff=<0, -1>  | 17548551 17549553 | pad: 11, 10 | 
read_530 status=OK qual=AB diff=<0, -12>  | 13510183 13511195 | pad: 11, None | 
read_531 status=OK qual=AA diff=<0, -1>  | 16793138 16794137 | pad: 11, 10 | 
read_532 status=OK qual=AB diff=<8, -9>  | 19766088 19767107 | pad: None, None | 
read_533 status=OK qual=AB diff=<11, -1>  | 16755018 16756034 | pad: None, 10 | 
read_534 status=OK qual=AA diff=<0, -1>  | 9366355 9367360 | pad: 11, 10 | 
read_535 status=OK qual=AA diff=<0, -2>  | 4723236 4724233 | pad: 11, 10 | 
read_536 status=OK qual=C diff=<10, -12>  | 12616368 12617396 | pad: None, None | 
read_537 status=OK qual=AB diff=<0, -14>  | 11294827 11295841 | pad: 11, None | 
read_538 status=OK qual=AA diff=<0, -1>  | 17080994 17081999 | pad: 11, 10 | 
read_539 status=OK qual=AB diff=<11, 0>  | 17807094 17808107 | pad: None, 11 | 
read_540 status=OK qual=AB diff=<11, -1>  | 18857077 18858085 | pad: None, 10 | 
read_541 status=OK qual=C diff=<11, -11>  | 11078534 11079560 | pad: None, None | 
read_542 status=OK qual=AB diff=<12, 0>  | 11256729 11257742 | pad: None, 11 | 
read_543 status=OK qual=AB diff=<13, -1>  | 5026459 5027467 | pad: None, 10 | 
read_544 status=OK qual=AA diff=<0, -2>  | 7187579 7188584 | pad: 11, 9 | 
read_545 status=OK qual=AA diff=<0, -1>  | 3910660 3911662 | pad: 11, 10 | 
read_546 status=OK qual=AA diff=<0, -1>  | 17010787 17011788 | pad: 11, 10 | 
read_547 status=OK qual=AA diff=<0, -8>  | 11378025 11379039 | pad: 11, None | 
read_548 status=OK qual=AB diff=<11, -1>  | 10707690 10708706 | pad: None, 10 | 
read_549 status=OK qual=AA diff=<0, -1>  | 18326164 18327165 | pad: 11, 10 | 
read_550 status=OK qual=AA diff=<-2, -1>  | 16700682 16701682 | pad: 11, 10 | 
read_551 status=OK qual=AB diff=<0, -10>  | 11744610 11745621 | pad: 11, None | 
read_552 status=OK qual=AA diff=<0, -1>  | 19922992 19923989 | pad: 11, 10 | 
read_553 status=OK qual=AB diff=<0, -10>  | 1887502 1888509 | pad: 11, None | 
read_554 status=OK qual=AA diff=<0, 0>  | 3735203 3736203 | pad: 11, 11 | 
read_555 status=OK qual=AB diff=<10, -1>  | 240572 241589 | pad: None, 10 | 
read_556 status=OK qual=AB diff=<0, -12>  | 14632091 14633106 | pad: 11, None | 
read_557 status=OK qual=AB diff=<0, -13>  | 14546804 14547809 | pad: 11, None | 
read_558 status=OK qual=AA diff=<0, -1>  | 2110918 2111909 | pad: 11, 10 | 
read_559 status=OK qual=AA diff=<0, -2>  | 15537487 15538487 | pad: 11, 10 | 
read_560 status=OK qual=AA diff=<0, -1>  | 11275597 11276596 | pad: 11, 10 | 
read_561 status=OK qual=AA diff=<0, -1>  | 1061945 1062953 | pad: 11, 10 | 
read_562 status=OK qual=AB diff=<0, -11>  | 16548720 16549726 | pad: 11, None | 
read_563 status=OK qual=AA diff=<0, 0>  | 3561819 3562817 | pad: 11, 11 | 
read_564 status=OK qual=AB diff=<11, -1>  | 3592721 3593726 | pad: None, 10 | 
read_565 status=OK qual=AA diff=<0, -1>  | 3885428 3886433 | pad: 11, 10 | 
read_566 status=OK qual=AA diff=<0, 0>  | 11613862 11614870 | pad: 11, 10 | 
read_567 status=OK qual=AA diff=<0, -1>  | 15221404 15222407 | pad: 11, 10 | 
read_568 status=OK qual=AA diff=<0, -1>  | 12296789 12297789 | pad: 11, 10 | 
read_569 status=OK qual=AA diff=<0, -1>  | 19997921 19998924 | pad: 11, 10 | 
read_570 status=OK qual=AA diff=<6, -1>  | 318482 319495 | pad: None, 10 | 
read_571 status=OK qual=AA diff=<0, -1>  | 19464076 19465077 | pad: 11, 10 | 
read_572 status=OK qual=C diff=<10, -15>  | 16721005 16722022 | pad: None, None | 
read_573 status=OK qual=AB diff=<11, -1>  | 17284470 17285485 | pad: None, 10 | 
read_574 status=OK qual=AA diff=<9, 0>  | 12057202 12058215 | pad: None, 11 | 
read_575 status=OK qual=AB diff=<0, -11>  | 12370422 12371435 | pad: 11, None | 
read_576 status=OK qual=AB diff=<11, -1>  | 16205808 16206814 | pad: None, 10 | 
read_577 status=OK qual=AB diff=<9, -1>  | 8185434 8186444 | pad: None, 10 | 
read_578 status=OK qual=C diff=<11, -10>  | 1321403 1322424 | pad: None, None | 
read_579 status=OK qual=AB diff=<11, 0>  | 2692231 2693242 | pad: None, 11 | 
read_580 status=OK qual=AA diff=<0, -1>  | 8364722 8365717 | pad: 11, 10 | 
read_581 status=OK qual=C diff=<11, -11>  | 15895492 15896515 | pad: None, None | 
read_582 status=OK qual=AB diff=<11, -3>  | 12982584 12983597 | pad: None, 10 | 
read_583 status=OK qual=AA diff=<0, -1>  | 13440229 13441236 | pad: 11, 10 | 
read_584 status=OK qual=AB diff=<0, -11>  | 15299140 15300155 | pad: 13, None | 
read_585 status=OK qual=AA diff=<0, -1>  | 9288410 9289407 | pad: 11, 10 | 
read_586 status=OK qual=AA diff=<0, -1>  | 19595609 19596604 | pad: 11, 10 | 
read_587 status=OK qual=AA diff=<0, 0>  | 3732712 3733710 | pad: 11, 11 | 
read_588 status=OK qual=AA diff=<0, -1>  | 17831275 17832277 | pad: 11, 10 | 
read_589 status=OK qual=AA diff=<0, -1>  | 13921953 13922951 | pad: 10, 10 | 
read_590 status=OK qual=AA diff=<0, -1>  | 610671 611670 | pad: 11, 10 | 
read_591 status=OK qual=AB diff=<0, -11>  | 17990526 17991541 | pad: 12, None | 
read_592 status=OK qual=AB diff=<0, -10>  | 1391302 1392320 | pad: 11, None | 
read_593 status=OK qual=AA diff=<0, -1>  | 9059779 9060781 | pad: 11, 10 | 
read_594 status=OK qual=AA diff=<0, -1>  | 1318759 1319764 | pad: 11, 10 | 
read_595 status=OK qual=AA diff=<0, -1>  | 2615782 2616787 | pad: 11, 10 | 
read_596 status=OK qual=AB diff=<11, 0>  | 15172422 15173433 | pad: None, 10 | 
read_597 status=OK qual=AB diff=<12, 0>  | 12512242 12513254 | pad: None, 10 | 
read_598 status=OK qual=AB diff=<11, -1>  | 7870260 7871282 | pad: None, 10 | 
read_599 status=OK qual=AA diff=<0, 0>  | 17047853 17048857 | pad: 11, 11 | 
read_600 status=OK qual=AB diff=<12, -4>  | 3685151 3686165 | pad: None, 7 | 
read_601 status=OK qual=AB diff=<0, -10>  | 19918820 19919824 | pad: 11, None | 
read_602 status=OK qual=AA diff=<0, -1>  | 2152274 2153273 | pad: 11, 10 | 
read_603 status=OK qual=AA diff=<0, -1>  | 5486975 5487974 | pad: 11, 10 | 
read_604 status=OK qual=AA diff=<0, -1>  | 11382728 11383732 | pad: 11, 10 | 
read_605 status=OK qual=AB diff=<0, -11>  | 8180825 8181834 | pad: 11, None | 
read_606 status=OK qual=AB diff=<0, -12>  | 2794270 2795282 | pad: 11, None | 
read_607 status=OK qual=AB diff=<0, -11>  | 18509961 18510976 | pad: 11, None | 
read_608 status=OK qual=AB diff=<0, -11>  | 1981933 1982938 | pad: 11, None | 
read_609 status=OK qual=AA diff=<7, -1>  | 15102078 15103086 | pad: None, 10 | 
read_610 status=OK qual=AB diff=<12, -1>  | 11672790 11673798 | pad: None, 10 | 
read_611 status=OK qual=AA diff=<0, -2>  | 19411059 19412060 | pad: 11, 10 | 
read_612 status=OK qual=AA diff=<0, -1>  | 12060592 12061595 | pad: 11, 10 | 
read_613 status=OK qual=AB diff=<11, -1>  | 10074766 10075776 | pad: None, 10 | 
read_614 status=OK qual=C diff=<11, -12>  | 8021562 8022583 | pad: None, None | 
read_615 status=OK qual=AB diff=<0, -12>  | 10871698 10872714 | pad: 11, None | 
read_616 status=OK qual=AB diff=<0, -10>  | 1702222 1703234 | pad: 11, None | 
read_617 status=OK qual=AB diff=<15, -1>  | 17896462 17897476 | pad: None, 10 | 
read_618 status=OK qual=AB diff=<0, -11>  | 1423949 1424956 | pad: 12, None | 
read_619 status=OK qual=AA diff=<0, -2>  | 13041312 13042304 | pad: 11, 9 | 
