read_75 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_76 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_77 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_78 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, 1>
read_79 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_80 | status=OK | qual=AA | max_diff=5 sum_diff=8 | diff=<-5, -3>
read_81 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_82 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_83 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, 1>
read_84 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_85 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_86 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_87 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_88 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_89 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_90 | status=OK | qual=AB | max_diff=10 sum_diff=12 | diff=<10, -2>
read_91 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_92 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_93 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_94 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<2, 1>
read_95 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<2, -1>
read_96 | status=OK | qual=AA | max_diff=3 sum_diff=5 | diff=<-2, -3>
read_97 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, -3>
read_98 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<-6, -2>
read_99 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_100 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, 1>
read_101 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<1, -2>
read_102 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_103 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
